dmg : Schaden
dmg_fire : Feuerschaden
dmg_ice : Eisschaden
dmg_earth : Erdschaden
heal_hp : HP-Heilung
heal_mp : MP-Heilung
armor : Ruestung
armor_fire : Feuerschutz
armor_ice : Eisschutz
armor_earth : Erdschutz
type_consumable : verzehrbar
type_permanent : permanent
type_equippable : tragbar
req_level : benötigt Level
slot_arm_left : linker Arm
slot_arm_right : rechter Arm
slot_breast : Brust
slot_legs : Beine
slot_head : Kopf
slot_ring : Ring
slot_necklace : Amulett
prop_dex : Intelligenz
prop_spd : Geschwindigkeit
prop_str : Staerke
prop_def : Verteidigung
prop_hp : HP
prop_atk : AP
prop_mp : MP
